DATE,Chapter,Adm2,PROVINCE,Adm3,Municipality,Adm4,BARANGAY,SITE,FAMILIES,INDIVIDUALS,FOOD_TOT,EmRelief_TOT,Shelter_TOT,Ration_2day,Ration_2week,Blankets,MosquitoNet,Jerry_10L,Jerry_20L,PlasticSleepingMat,HygieneKit,KitchenSet,CleaningKit,Tarpaulin,Tent,SRK,BottleWater_1L,Tracing,PSP,HotMeal,PairSlippers,LoafBread,UsedClothes,BathSoap,CGI,Shampoo_2dozen,CashForRelief,Jerry_collapsible,Donor_NOTE,DONOR,PNS_name
11/25/13,Aklan Chapter,604,Aklan,60415,New Washington,#N/A,Libacao,Municipal Hall,1500,7500,1500,0,0,1500,,,,,,,,,,,,,,,,,,,,,,,,,Rotary Club,PRC,
1/21/14,Aklan Chapter,604,Aklan,60415,New Washington,60415015,Puis,,133,,0,931,175,,,266,,266,,266,133,,,133,,42,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/21/14,Aklan Chapter,604,Aklan,60415,New Washington,60415008,Lawa-an,,101,,0,707,144,,,202,,202,,202,101,,,101,1,42,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/21/14,Aklan Chapter,604,Aklan,60415,New Washington,60415007,Jugas,,108,,0,756,151,,,216,,216,,216,108,,,108,,43,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/21/14,Aklan Chapter,604,Aklan,60415,New Washington,60415006,Jalas,,105,,0,735,151,,,210,,210,,210,105,,,105,5,41,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/21/14,Aklan Chapter,604,Aklan,60415,New Washington,60415005,Guinbaliwan,,144,,0,1008,188,,,288,,288,,288,144,,,144,2,42,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/21/14,Aklan Chapter,604,Aklan,60415,New Washington,60415001,Candelaria,,78,,0,546,119,,,156,,156,,156,78,,,78,,41,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/20/14,Aklan Chapter,604,Aklan,60415,New Washington,60415012,Pinamuk-An,,100,,0,700,102,,,200,,200,,200,100,,,100,2,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/20/14,Aklan Chapter,604,Aklan,60415,New Washington,60415011,Ochando,,115,,0,805,157,,,230,,230,,230,115,,,155,2,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/20/14,Aklan Chapter,604,Aklan,60415,New Washington,60415009,Mabilo,,123,,0,861,123,,,246,,246,,246,123,,,123,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
